from_module,to_module,interaction_type,evidence
System Orchestrator,Timebase,call,src/main.cpp calls TickGet() in loop at lines 215 and 320 and 869; no direct Platform_getTimeMillis() call found via rg
Timebase,Power and Physical IO,call,src/src/power_handler.cpp power_task uses TickGet() gate (TICK_SECOND*5); src/src/button_handler.cpp button_task uses TickGet() debounce period; src/src/gpio_handler.cpp gpio_task uses TickGet() 10ms scan gate
Timebase,Sensor and Visual UI,call,src/src/imu_handler.cpp imu_task uses TickGet() gate (TickGet()-imu_tick >= TICK_SECOND); src/src/leddisplay_handler.cpp leddisplay_task uses TickGet() gate (TickGet()-flash_tick >= TICK_MILLIS*10)
Power and Physical IO,Config Store,call,src/src/button_handler.cpp button_task calls config_default() then config_write() when WIFI button held for WIFI_BUTTON_DEFAULT_PERIOD
WiFi/Web Control Plane,Config Store,call,12_sliceC_pass6.md C4 `handleConfigUpload` calls `config_write`; 12_sliceC_pass6.md C3 command path calls `config_default`
Config Store,WiFi/Web Control Plane,shared-state,12_sliceC_pass6.md C1 `configReg.*` baseline consumed by C2 `wifi_start_ap` and C3/C4 auth+config handlers
WiFi/Web Control Plane,Power and Physical IO,call,"src/src/wifi_handler.cpp handle_command_requests(action=""setup_advan"") sets configReg.battery_chargerate then calls power_set_chargerate(configReg.battery_chargerate)"
WiFi/Web Control Plane,Power and Physical IO,shared-state,"src/src/wifi_handler.cpp handle_command_requests(action=""gpio_on""/""gpio_off"") writes gpio_controls.io1_control/io2_control and sets generalFlags.gpio_update_request; src/main.cpp loop consumes gpio_update_request and calls gpio_update()"
WiFi/Web Control Plane,Modem Core,call,12_sliceC_pass6.md C3 calls `modem_sim_switch_guard_start`; 12_sliceB_pass6.md C1 dispatches modem control requests
Power and Physical IO,Modem Core,shared-state,src/src/button_handler.cpp button_task sets generalFlags.modem_reboot_request; src/src/modem_handler.cpp modem_task checks and clears generalFlags.modem_reboot_request
WiFi/Web Control Plane,Sensor and Visual UI,shared-state,src/src/wifi_handler.cpp writes statusReg.flags.wifi_server_started in wifi_start_ap()/wifi_stop_ap() and statusReg.flags.wifi_update_in_progress in handleDoUpdate(); src/src/leddisplay_handler.cpp leddisplay_task branches on both flags
Modem Core,Sensor and Visual UI,shared-state,src/src/modem_handler.cpp updates statusReg.flags.modem_registered/modem_no_sim/sms_command_processed/call_volte_active; src/src/leddisplay_handler.cpp leddisplay_task reads these flags for LED color/flash decisions
Modem Core,WiFi/Web Control Plane,shared-state,12_sliceB_pass6.md C2 writes `statusReg.modem_signal_level` and registration flags; 12_sliceC_pass6.md C4 `handleValuesXML` emits these fields
Config Store,Audio Runtime,shared-state,src/src/file_handler.cpp config_default and config_read populate configReg audio fields; src/main.cpp uses configReg.mimic_volume and configReg.announcement_volume and configReg.ringer_volume in audio_set_volume; src/main.cpp mimic_dial uses configReg.mimic_dtmf_tone_period and configReg.mimic_dtmf_intertone_period
